model,task,split,seed,idiom_id,base_pie,f1,precision,recall,num_samples
alephbertgimmel-base,cls,seen_test,42,7,הייתה בעננים,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,42,8,הלך בין טיפות,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,42,9,הלך על ביצים,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,42,10,הניף דגל לבן,0.7333333333333334,0.8333333333333333,0.75,8
alephbertgimmel-base,cls,seen_test,42,11,הרים את הראש,0.873015873015873,0.9,0.875,8
alephbertgimmel-base,cls,seen_test,42,12,הרים גבה,0.873015873015873,0.9,0.875,8
alephbertgimmel-base,cls,seen_test,42,13,הרים ידיים,0.873015873015873,0.9,0.875,8
alephbertgimmel-base,cls,seen_test,42,14,חותך כמו סכין,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,42,15,חזר למסלול,0.873015873015873,0.9,0.875,8
alephbertgimmel-base,cls,seen_test,42,16,חטף חום,0.873015873015873,0.9,0.875,8
alephbertgimmel-base,cls,seen_test,42,17,חטף מכה,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,42,18,חיבר נקודות,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,42,21,יצא מהקופסה,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,42,22,ירד לו האסימון,0.873015873015873,0.9,0.875,8
alephbertgimmel-base,cls,seen_test,42,23,ירד מהעץ,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,42,24,ירד מהפסים,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,42,25,ירה לכל הכיוונים,0.7333333333333334,0.8333333333333333,0.75,8
alephbertgimmel-base,cls,seen_test,42,26,ירק דם,0.873015873015873,0.9,0.875,8
alephbertgimmel-base,cls,seen_test,42,27,לב זהב,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,42,28,לקח צעד אחורה,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,42,29,משך בחוטים,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,42,30,נכנס מתחת לאלונקה,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,42,31,נפל בין הכיסאות,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,42,32,נפל מהכיסא,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,42,34,נשבר מבפנים,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,42,35,נשך שפתיים,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,42,36,נתן גז,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,42,37,נתן יד,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,42,38,סגר חשבון,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,42,39,עשה סלט,0.873015873015873,0.9,0.875,8
alephbertgimmel-base,cls,seen_test,42,40,עשה סצנה,0.5636363636363637,0.7857142857142857,0.625,8
alephbertgimmel-base,cls,seen_test,42,41,פתח דלתות,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,42,42,פתח דף חדש,0.7333333333333334,0.8333333333333333,0.75,8
alephbertgimmel-base,cls,seen_test,42,43,פתח עיניים,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,42,44,קבר את עצמו,0.873015873015873,0.9,0.875,8
alephbertgimmel-base,cls,seen_test,42,45,קיבל סטירה,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,42,46,קיפל את הזנב,0.7333333333333334,0.8333333333333333,0.75,8
alephbertgimmel-base,cls,seen_test,42,47,קפא במקום,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,42,48,קפץ למים,0.873015873015873,0.9,0.875,8
alephbertgimmel-base,cls,seen_test,42,50,שבר את הכלים,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,42,51,שבר את הלב,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,42,52,שבר את הקרח,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,42,53,שבר את הראש,0.75,0.75,0.75,8
alephbertgimmel-base,cls,seen_test,42,54,שבר את תקרת הזכוכית,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,42,56,שחרר קיטור,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,42,57,שיחק באש,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,42,58,שם עליו פס,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,42,59,שם רגליים,0.873015873015873,0.9,0.875,8
alephbertgimmel-base,cls,seen_test,42,60,שפכה אור,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,123,1,איבד את הצפון,0.873015873015873,0.9,0.875,8
alephbertgimmel-base,cls,seen_test,123,3,דרך במקום,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,123,4,הוריד את הכפפות,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,123,5,הוריד פרופיל,0.873015873015873,0.9,0.875,8
alephbertgimmel-base,cls,seen_test,123,6,החזיק אצבעות,0.7333333333333334,0.8333333333333333,0.75,8
alephbertgimmel-base,cls,seen_test,123,7,הייתה בעננים,0.873015873015873,0.9,0.875,8
alephbertgimmel-base,cls,seen_test,123,8,הלך בין טיפות,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,123,9,הלך על ביצים,0.873015873015873,0.9,0.875,8
alephbertgimmel-base,cls,seen_test,123,10,הניף דגל לבן,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,123,11,הרים את הראש,0.873015873015873,0.9,0.875,8
alephbertgimmel-base,cls,seen_test,123,12,הרים גבה,0.75,0.75,0.75,8
alephbertgimmel-base,cls,seen_test,123,13,הרים ידיים,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,123,14,חותך כמו סכין,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,123,15,חזר למסלול,0.873015873015873,0.9,0.875,8
alephbertgimmel-base,cls,seen_test,123,16,חטף חום,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,123,17,חטף מכה,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,123,18,חיבר נקודות,0.75,0.75,0.75,8
alephbertgimmel-base,cls,seen_test,123,21,יצא מהקופסה,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,123,22,ירד לו האסימון,0.873015873015873,0.9,0.875,8
alephbertgimmel-base,cls,seen_test,123,23,ירד מהעץ,0.873015873015873,0.9,0.875,8
alephbertgimmel-base,cls,seen_test,123,24,ירד מהפסים,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,123,25,ירה לכל הכיוונים,0.7333333333333334,0.8333333333333333,0.75,8
alephbertgimmel-base,cls,seen_test,123,26,ירק דם,0.873015873015873,0.9,0.875,8
alephbertgimmel-base,cls,seen_test,123,27,לב זהב,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,123,28,לקח צעד אחורה,0.873015873015873,0.9,0.875,8
alephbertgimmel-base,cls,seen_test,123,29,משך בחוטים,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,123,30,נכנס מתחת לאלונקה,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,123,31,נפל בין הכיסאות,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,123,32,נפל מהכיסא,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,123,34,נשבר מבפנים,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,123,35,נשך שפתיים,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,123,36,נתן גז,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,123,37,נתן יד,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,123,38,סגר חשבון,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,123,39,עשה סלט,0.873015873015873,0.9,0.875,8
alephbertgimmel-base,cls,seen_test,123,40,עשה סצנה,0.7333333333333334,0.8333333333333333,0.75,8
alephbertgimmel-base,cls,seen_test,123,41,פתח דלתות,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,123,42,פתח דף חדש,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,123,43,פתח עיניים,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,123,44,קבר את עצמו,0.873015873015873,0.9,0.875,8
alephbertgimmel-base,cls,seen_test,123,45,קיבל סטירה,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,123,46,קיפל את הזנב,0.873015873015873,0.9,0.875,8
alephbertgimmel-base,cls,seen_test,123,47,קפא במקום,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,123,48,קפץ למים,0.873015873015873,0.9,0.875,8
alephbertgimmel-base,cls,seen_test,123,50,שבר את הכלים,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,123,51,שבר את הלב,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,123,52,שבר את הקרח,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,123,53,שבר את הראש,0.873015873015873,0.9,0.875,8
alephbertgimmel-base,cls,seen_test,123,54,שבר את תקרת הזכוכית,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,123,56,שחרר קיטור,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,123,57,שיחק באש,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,123,58,שם עליו פס,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,123,59,שם רגליים,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,123,60,שפכה אור,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,456,1,איבד את הצפון,0.873015873015873,0.9,0.875,8
alephbertgimmel-base,cls,seen_test,456,3,דרך במקום,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,456,4,הוריד את הכפפות,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,456,5,הוריד פרופיל,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,456,6,החזיק אצבעות,0.873015873015873,0.9,0.875,8
alephbertgimmel-base,cls,seen_test,456,7,הייתה בעננים,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,456,8,הלך בין טיפות,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,456,9,הלך על ביצים,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,456,10,הניף דגל לבן,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,456,11,הרים את הראש,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,456,12,הרים גבה,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,456,13,הרים ידיים,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,456,14,חותך כמו סכין,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,456,15,חזר למסלול,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,456,16,חטף חום,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,456,17,חטף מכה,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,456,18,חיבר נקודות,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,456,21,יצא מהקופסה,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,456,22,ירד לו האסימון,0.873015873015873,0.9,0.875,8
alephbertgimmel-base,cls,seen_test,456,23,ירד מהעץ,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,456,24,ירד מהפסים,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,456,25,ירה לכל הכיוונים,0.7333333333333334,0.8333333333333333,0.75,8
alephbertgimmel-base,cls,seen_test,456,26,ירק דם,0.873015873015873,0.9,0.875,8
alephbertgimmel-base,cls,seen_test,456,27,לב זהב,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,456,28,לקח צעד אחורה,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,456,29,משך בחוטים,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,456,30,נכנס מתחת לאלונקה,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,456,31,נפל בין הכיסאות,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,456,32,נפל מהכיסא,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,456,34,נשבר מבפנים,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,456,35,נשך שפתיים,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,456,36,נתן גז,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,456,37,נתן יד,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,456,38,סגר חשבון,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,456,39,עשה סלט,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,456,40,עשה סצנה,0.5636363636363637,0.7857142857142857,0.625,8
alephbertgimmel-base,cls,seen_test,456,41,פתח דלתות,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,456,42,פתח דף חדש,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,456,43,פתח עיניים,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,456,44,קבר את עצמו,0.873015873015873,0.9,0.875,8
alephbertgimmel-base,cls,seen_test,456,45,קיבל סטירה,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,456,46,קיפל את הזנב,0.7333333333333334,0.8333333333333333,0.75,8
alephbertgimmel-base,cls,seen_test,456,47,קפא במקום,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,456,48,קפץ למים,0.7333333333333334,0.8333333333333333,0.75,8
alephbertgimmel-base,cls,seen_test,456,50,שבר את הכלים,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,456,51,שבר את הלב,0.873015873015873,0.9,0.875,8
alephbertgimmel-base,cls,seen_test,456,52,שבר את הקרח,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,456,53,שבר את הראש,0.75,0.75,0.75,8
alephbertgimmel-base,cls,seen_test,456,54,שבר את תקרת הזכוכית,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,456,56,שחרר קיטור,0.873015873015873,0.9,0.875,8
alephbertgimmel-base,cls,seen_test,456,57,שיחק באש,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,456,58,שם עליו פס,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,456,59,שם רגליים,1.0,1.0,1.0,8
alephbertgimmel-base,cls,seen_test,456,60,שפכה אור,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,42,1,איבד את הצפון,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,42,3,דרך במקום,0.9411764705882353,0.8888888888888888,1.0,8
alephbertgimmel-base,span,seen_test,42,4,הוריד את הכפפות,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,42,5,הוריד פרופיל,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,42,6,החזיק אצבעות,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,42,7,הייתה בעננים,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,42,8,הלך בין טיפות,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,42,9,הלך על ביצים,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,42,10,הניף דגל לבן,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,42,11,הרים את הראש,0.823529411764706,0.7777777777777778,0.875,8
alephbertgimmel-base,span,seen_test,42,12,הרים גבה,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,42,13,הרים ידיים,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,42,14,חותך כמו סכין,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,42,15,חזר למסלול,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,42,16,חטף חום,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,42,17,חטף מכה,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,42,18,חיבר נקודות,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,42,21,יצא מהקופסה,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,42,22,ירד לו האסימון,0.9411764705882353,0.8888888888888888,1.0,8
alephbertgimmel-base,span,seen_test,42,23,ירד מהעץ,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,42,24,ירד מהפסים,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,42,25,ירה לכל הכיוונים,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,42,26,ירק דם,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,42,27,לב זהב,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,42,28,לקח צעד אחורה,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,42,29,משך בחוטים,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,42,30,נכנס מתחת לאלונקה,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,42,31,נפל בין הכיסאות,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,42,32,נפל מהכיסא,0.9411764705882353,0.8888888888888888,1.0,8
alephbertgimmel-base,span,seen_test,42,34,נשבר מבפנים,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,42,35,נשך שפתיים,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,42,36,נתן גז,0.9411764705882353,0.8888888888888888,1.0,8
alephbertgimmel-base,span,seen_test,42,37,נתן יד,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,42,38,סגר חשבון,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,42,39,עשה סלט,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,42,40,עשה סצנה,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,42,41,פתח דלתות,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,42,42,פתח דף חדש,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,42,43,פתח עיניים,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,42,44,קבר את עצמו,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,42,45,קיבל סטירה,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,42,46,קיפל את הזנב,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,42,47,קפא במקום,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,42,48,קפץ למים,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,42,50,שבר את הכלים,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,42,51,שבר את הלב,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,42,52,שבר את הקרח,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,42,53,שבר את הראש,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,42,54,שבר את תקרת הזכוכית,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,42,56,שחרר קיטור,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,42,57,שיחק באש,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,42,58,שם עליו פס,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,42,59,שם רגליים,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,42,60,שפכה אור,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,123,1,איבד את הצפון,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,123,3,דרך במקום,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,123,4,הוריד את הכפפות,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,123,5,הוריד פרופיל,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,123,6,החזיק אצבעות,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,123,7,הייתה בעננים,0.875,0.875,0.875,8
alephbertgimmel-base,span,seen_test,123,8,הלך בין טיפות,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,123,9,הלך על ביצים,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,123,10,הניף דגל לבן,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,123,11,הרים את הראש,0.823529411764706,0.7777777777777778,0.875,8
alephbertgimmel-base,span,seen_test,123,12,הרים גבה,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,123,13,הרים ידיים,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,123,14,חותך כמו סכין,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,123,15,חזר למסלול,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,123,16,חטף חום,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,123,17,חטף מכה,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,123,18,חיבר נקודות,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,123,21,יצא מהקופסה,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,123,22,ירד לו האסימון,0.9411764705882353,0.8888888888888888,1.0,8
alephbertgimmel-base,span,seen_test,123,23,ירד מהעץ,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,123,24,ירד מהפסים,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,123,25,ירה לכל הכיוונים,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,123,26,ירק דם,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,123,27,לב זהב,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,123,28,לקח צעד אחורה,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,123,29,משך בחוטים,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,123,30,נכנס מתחת לאלונקה,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,123,31,נפל בין הכיסאות,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,123,32,נפל מהכיסא,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,123,34,נשבר מבפנים,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,123,35,נשך שפתיים,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,123,36,נתן גז,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,123,37,נתן יד,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,123,38,סגר חשבון,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,123,39,עשה סלט,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,123,40,עשה סצנה,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,123,41,פתח דלתות,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,123,42,פתח דף חדש,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,123,43,פתח עיניים,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,123,44,קבר את עצמו,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,123,45,קיבל סטירה,0.9411764705882353,0.8888888888888888,1.0,8
alephbertgimmel-base,span,seen_test,123,46,קיפל את הזנב,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,123,47,קפא במקום,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,123,48,קפץ למים,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,123,50,שבר את הכלים,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,123,51,שבר את הלב,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,123,52,שבר את הקרח,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,123,53,שבר את הראש,0.9411764705882353,0.8888888888888888,1.0,8
alephbertgimmel-base,span,seen_test,123,54,שבר את תקרת הזכוכית,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,123,56,שחרר קיטור,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,123,57,שיחק באש,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,123,58,שם עליו פס,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,123,59,שם רגליים,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,123,60,שפכה אור,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,456,1,איבד את הצפון,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,456,3,דרך במקום,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,456,4,הוריד את הכפפות,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,456,5,הוריד פרופיל,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,456,6,החזיק אצבעות,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,456,7,הייתה בעננים,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,456,8,הלך בין טיפות,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,456,9,הלך על ביצים,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,456,10,הניף דגל לבן,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,456,11,הרים את הראש,0.888888888888889,0.8,1.0,8
alephbertgimmel-base,span,seen_test,456,12,הרים גבה,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,456,13,הרים ידיים,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,456,14,חותך כמו סכין,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,456,15,חזר למסלול,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,456,16,חטף חום,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,456,17,חטף מכה,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,456,18,חיבר נקודות,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,456,21,יצא מהקופסה,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,456,22,ירד לו האסימון,0.9411764705882353,0.8888888888888888,1.0,8
alephbertgimmel-base,span,seen_test,456,23,ירד מהעץ,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,456,24,ירד מהפסים,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,456,25,ירה לכל הכיוונים,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,456,26,ירק דם,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,456,27,לב זהב,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,456,28,לקח צעד אחורה,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,456,29,משך בחוטים,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,456,30,נכנס מתחת לאלונקה,0.9333333333333333,1.0,0.875,8
alephbertgimmel-base,span,seen_test,456,31,נפל בין הכיסאות,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,456,32,נפל מהכיסא,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,456,34,נשבר מבפנים,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,456,35,נשך שפתיים,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,456,36,נתן גז,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,456,37,נתן יד,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,456,38,סגר חשבון,1.0,1.0,1.0,8
alephbertgimmel-base,span,seen_test,456,39,עשה סלט,1.0,1.0,1.0,8
